2026-06-24 00:29:03,750 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_Lag123.csv
2026-06-24 00:29:04,150 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_test_Lag123.csv
2026-06-24 00:31:01,217 | INFO | Finished zone: NAC
2026-06-24 00:31:01,226 | INFO | Starting zone: NEC
2026-06-24 00:31:13,645 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_Lag123.csv
2026-06-24 00:31:14,146 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_test_Lag123.csv
2026-06-24 00:33:37,828 | INFO | Finished zone: NEC
2026-06-24 00:33:37,839 | INFO | Starting zone: SAC
2026-06-24 00:33:49,600 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_Lag123.csv
2026-06-24 00:33:50,169 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_test_Lag123.csv
2026-06-24 00:35:02,190 | INFO | Finished zone: SAC
2026-06-24 00:35:02,255 | INFO | Pipeline finished successfully
2026-06-24 00:41:26,853 | INFO | Pipeline started
2026-06-24 00:41:26,853 | INFO | Starting zone: CAC
2026-06-24 00:41:40,169 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
2026-06-24 00:41:40,749 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_test_Lag123.csv
2026-06-24 00:43:44,407 | INFO | Finished zone: CAC
2026-06-24 00:43:44,415 | INFO | Starting zone: MAC
2026-06-24 00:43:56,276 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_Lag123.csv
2026-06-24 00:43:56,831 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_test_Lag123.csv
2026-06-24 00:45:00,938 | INFO | Finished zone: MAC
2026-06-24 00:45:00,946 | INFO | Starting zone: NAC
2026-06-24 00:45:13,723 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_Lag123.csv
2026-06-24 00:45:14,095 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_test_Lag123.csv
2026-06-24 00:47:00,644 | INFO | Finished zone: NAC
2026-06-24 00:47:00,647 | INFO | Starting zone: NEC
2026-06-24 00:47:13,071 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_Lag123.csv
2026-06-24 00:47:13,557 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_test_Lag123.csv
2026-06-24 00:49:44,257 | INFO | Finished zone: NEC
2026-06-24 00:49:44,262 | INFO | Starting zone: SAC
2026-06-24 00:49:58,814 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_Lag123.csv
2026-06-24 00:49:59,396 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_test_Lag123.csv
2026-06-24 00:51:31,668 | INFO | Finished zone: SAC
2026-06-24 00:51:31,724 | INFO | Pipeline finished successfully
2026-06-24 14:24:41,343 | INFO | Pipeline started  (run_timestamp=20260624_142441)
2026-06-24 14:24:41,343 | INFO | Starting zone: CAC
2026-06-24 14:25:21,476 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
2026-06-24 14:25:22,218 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_test_Lag123.csv
2026-06-24 14:25:57,074 | INFO | Finished zone: CAC
2026-06-24 14:25:57,076 | INFO | Starting zone: MAC
2026-06-24 14:26:32,947 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_Lag123.csv
2026-06-24 14:26:33,631 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_test_Lag123.csv
2026-06-24 14:27:14,937 | INFO | Finished zone: MAC
2026-06-24 14:27:14,940 | INFO | Starting zone: NAC
2026-06-24 14:27:43,029 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_Lag123.csv
2026-06-24 14:27:43,626 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_test_Lag123.csv
2026-06-24 14:28:25,182 | INFO | Finished zone: NAC
2026-06-24 14:28:25,186 | INFO | Starting zone: NEC
2026-06-24 14:29:20,241 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_Lag123.csv
2026-06-24 14:29:20,905 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_test_Lag123.csv
2026-06-24 14:31:02,346 | INFO | Finished zone: NEC
2026-06-24 14:31:02,356 | INFO | Starting zone: SAC
2026-06-24 14:31:30,591 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_Lag123.csv
2026-06-24 14:31:31,207 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_test_Lag123.csv
2026-06-24 14:32:07,292 | INFO | Finished zone: SAC
2026-06-24 14:32:07,405 | INFO | CSV exports complete
2026-06-24 14:32:07,426 | INFO | Decision dashboard built (5 zones)
2026-06-24 14:32:08,980 | INFO | Excel report written → /Users/noeiibibi/Documents/multi-region-load-forecasting/output/load_forecast_report.xlsx
2026-06-24 14:32:08,980 | INFO | Pipeline finished successfully (run_timestamp=20260624_142441)
2026-06-25 08:46:06,564 | INFO | Pipeline started  (run_timestamp=20260625_084606)
2026-06-25 08:46:06,565 | INFO | Starting zone: CAC
2026-06-25 08:46:26,172 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
2026-06-25 08:46:26,891 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_test_Lag123.csv
2026-06-25 08:52:23,356 | INFO | Pipeline started  (run_timestamp=20260625_085223)
2026-06-25 08:52:23,357 | INFO | Starting zone: CAC
2026-06-25 08:52:40,742 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
2026-06-25 08:52:41,262 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_test_Lag123.csv
2026-06-25 08:53:16,290 | INFO | Finished zone: CAC
2026-06-25 08:53:16,294 | INFO | Starting zone: MAC
2026-06-25 08:53:34,038 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_Lag123.csv
2026-06-25 08:53:34,432 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_test_Lag123.csv
2026-06-25 08:54:16,139 | INFO | Finished zone: MAC
2026-06-25 08:54:16,143 | INFO | Starting zone: NAC
2026-06-25 08:54:33,323 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_Lag123.csv
2026-06-25 08:54:33,738 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_test_Lag123.csv
2026-06-25 08:55:16,386 | INFO | Finished zone: NAC
2026-06-25 08:55:16,398 | INFO | Starting zone: NEC
2026-06-25 08:55:36,809 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_Lag123.csv
2026-06-25 08:55:37,486 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_test_Lag123.csv
2026-06-25 08:57:20,895 | INFO | Finished zone: NEC
2026-06-25 08:57:20,903 | INFO | Starting zone: SAC
2026-06-25 08:57:41,673 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_Lag123.csv
2026-06-25 08:57:42,222 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_test_Lag123.csv
2026-06-25 08:58:18,119 | INFO | Finished zone: SAC
2026-06-25 08:58:18,240 | INFO | CSV exports complete
2026-06-25 08:58:18,266 | INFO | Decision dashboard built (5 zones)
2026-06-25 08:58:19,856 | INFO | Excel report written → /Users/noeiibibi/Documents/multi-region-load-forecasting/output/load_forecast_report.xlsx
2026-06-25 08:58:19,856 | INFO | Pipeline finished successfully (run_timestamp=20260625_085223)
2026-06-25 22:47:11,454 | INFO | Pipeline started  (run_timestamp=20260625_224711)
2026-06-25 22:47:11,454 | INFO | Starting zone: CAC
2026-06-25 22:47:26,358 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
2026-06-25 22:47:27,083 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_test_Lag123.csv
2026-06-25 22:48:05,416 | INFO | Finished zone: CAC
2026-06-25 22:48:05,418 | INFO | Starting zone: MAC
2026-06-25 22:48:24,483 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_Lag123.csv
2026-06-25 22:48:24,946 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_test_Lag123.csv
2026-06-25 22:49:46,453 | INFO | Finished zone: MAC
2026-06-25 22:49:46,457 | INFO | Starting zone: NAC
2026-06-25 22:50:06,595 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_Lag123.csv
2026-06-25 22:50:07,187 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_test_Lag123.csv
2026-06-25 22:50:49,467 | INFO | Finished zone: NAC
2026-06-25 22:50:49,469 | INFO | Starting zone: NEC
2026-06-25 22:51:09,019 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_Lag123.csv
2026-06-25 22:51:09,563 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_test_Lag123.csv
2026-06-25 22:53:11,113 | INFO | Finished zone: NEC
2026-06-25 22:53:11,118 | INFO | Starting zone: SAC
2026-06-25 22:53:24,155 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_Lag123.csv
2026-06-25 22:53:24,849 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_test_Lag123.csv
2026-06-25 22:54:07,976 | INFO | Finished zone: SAC
2026-06-25 22:54:08,095 | INFO | CSV exports complete
2026-06-25 22:54:08,118 | INFO | Decision dashboard built (5 zones)
2026-06-25 22:54:09,635 | INFO | Excel report written → /Users/noeiibibi/Documents/multi-region-load-forecasting/multi-region-load-forecasting/output/load_forecast_report.xlsx
2026-06-25 22:54:09,635 | INFO | Pipeline finished successfully (run_timestamp=20260625_224711)
2026-06-25 23:17:27,776 | INFO | Pipeline started  (run_timestamp=20260625_231727)
2026-06-25 23:17:27,776 | INFO | Starting zone: CAC
2026-06-25 23:17:48,622 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
